company,ram_gb,battery_mah,screen_inches,weight_grams,launch_year,price_usd,front_camera_mp,back_camera_mp,processor,_source_file,battery_efficiency
Samsung,12.0,5000.0,6.8,234.0,2024.0,1199,12.0,200.0,Exynos 2400,Mobiles Dataset (2025) - Enhanced.csv,108.13148788927337
Samsung,12.0,5000.0,6.8,234.0,2024.0,1299,12.0,200.0,Exynos 2400,Mobiles Dataset (2025) - Enhanced.csv,108.13148788927337
Samsung,8.0,4800.0,6.6,196.0,2024.0,899,12.0,50.0,Exynos 2400,Mobiles Dataset (2025) - Enhanced.csv,110.19283746556475
Samsung,8.0,4800.0,6.6,196.0,2024.0,999,12.0,50.0,Exynos 2400,Mobiles Dataset (2025) - Enhanced.csv,110.19283746556475
Samsung,8.0,4000.0,6.1,168.0,2024.0,799,12.0,50.0,Exynos 2400,Mobiles Dataset (2025) - Enhanced.csv,107.49798441279228
Samsung,8.0,4000.0,6.1,168.0,2024.0,899,12.0,50.0,Exynos 2400,Mobiles Dataset (2025) - Enhanced.csv,107.49798441279228
Samsung,8.0,4700.0,6.6,196.0,2023.0,899,12.0,50.0,Snapdragon 8 Gen 2,Mobiles Dataset (2025) - Enhanced.csv,107.89715335169882
Samsung,8.0,4700.0,6.6,196.0,2023.0,999,12.0,50.0,Snapdragon 8 Gen 2,Mobiles Dataset (2025) - Enhanced.csv,107.89715335169882
Samsung,8.0,3900.0,6.1,168.0,2023.0,799,12.0,50.0,Snapdragon 8 Gen 2,Mobiles Dataset (2025) - Enhanced.csv,104.81053480247247
Samsung,8.0,3900.0,6.1,168.0,2023.0,899,12.0,50.0,Snapdragon 8 Gen 2,Mobiles Dataset (2025) - Enhanced.csv,104.81053480247247
Samsung,12.0,5000.0,6.8,228.0,2022.0,1099,10.0,108.0,Exynos 2200,Mobiles Dataset (2025) - Enhanced.csv,108.13148788927337
Samsung,8.0,4500.0,6.6,195.0,2022.0,799,10.0,50.0,Exynos 2200,Mobiles Dataset (2025) - Enhanced.csv,103.30578512396696
Samsung,8.0,4500.0,6.6,195.0,2022.0,899,10.0,50.0,Exynos 2200,Mobiles Dataset (2025) - Enhanced.csv,103.30578512396696
Samsung,8.0,3800.0,6.1,167.0,2022.0,699,10.0,50.0,Exynos 2200,Mobiles Dataset (2025) - Enhanced.csv,102.12308519215266
Samsung,8.0,3800.0,6.1,167.0,2022.0,799,10.0,50.0,Exynos 2200,Mobiles Dataset (2025) - Enhanced.csv,102.12308519215266
Samsung,12.0,4400.0,7.6,254.0,2023.0,1799,10.0,50.0,Snapdragon 8 Gen 2,Mobiles Dataset (2025) - Enhanced.csv,76.17728531855956
Samsung,12.0,4400.0,7.6,254.0,2023.0,1899,10.0,50.0,Snapdragon 8 Gen 2,Mobiles Dataset (2025) - Enhanced.csv,76.17728531855956
Samsung,8.0,3700.0,6.7,187.0,2023.0,999,12.0,12.0,Snapdragon 8 Gen 2,Mobiles Dataset (2025) - Enhanced.csv,82.42370238360436
Samsung,8.0,3700.0,6.7,187.0,2023.0,1099,12.0,12.0,Snapdragon 8 Gen 2,Mobiles Dataset (2025) - Enhanced.csv,82.42370238360436
Samsung,6.0,5000.0,6.4,189.0,2023.0,399,32.0,50.0,Exynos 1380,Mobiles Dataset (2025) - Enhanced.csv,122.07031249999997
Samsung,6.0,5000.0,6.4,189.0,2023.0,449,32.0,50.0,Exynos 1380,Mobiles Dataset (2025) - Enhanced.csv,122.07031249999997
Samsung,6.0,5000.0,6.6,199.0,2023.0,349,13.0,48.0,MediaTek Dimensity 1080,Mobiles Dataset (2025) - Enhanced.csv,114.78420569329661
Samsung,6.0,5000.0,6.6,199.0,2023.0,399,13.0,48.0,MediaTek Dimensity 1080,Mobiles Dataset (2025) - Enhanced.csv,114.78420569329661
Samsung,6.0,5000.0,6.5,195.0,2023.0,299,13.0,50.0,MediaTek Helio G99,Mobiles Dataset (2025) - Enhanced.csv,118.34319526627219
Samsung,6.0,5000.0,6.5,195.0,2023.0,349,13.0,50.0,MediaTek Helio G99,Mobiles Dataset (2025) - Enhanced.csv,118.34319526627219
Samsung,4.0,5000.0,6.6,190.0,2023.0,249,13.0,50.0,Exynos 850,Mobiles Dataset (2025) - Enhanced.csv,114.78420569329661
Samsung,4.0,5000.0,6.6,190.0,2023.0,299,13.0,50.0,Exynos 850,Mobiles Dataset (2025) - Enhanced.csv,114.78420569329661
Samsung,4.0,5000.0,6.5,188.0,2022.0,199,5.0,50.0,Exynos 850,Mobiles Dataset (2025) - Enhanced.csv,118.34319526627219
Samsung,4.0,5000.0,6.5,188.0,2022.0,249,5.0,50.0,Exynos 850,Mobiles Dataset (2025) - Enhanced.csv,118.34319526627219
Samsung,8.0,6000.0,6.7,202.0,2023.0,349,32.0,108.0,Exynos 1380,Mobiles Dataset (2025) - Enhanced.csv,133.66005791935842
Samsung,8.0,6000.0,6.7,202.0,2023.0,399,32.0,108.0,Exynos 1380,Mobiles Dataset (2025) - Enhanced.csv,133.66005791935842
Samsung,6.0,6000.0,6.5,199.0,2023.0,299,13.0,50.0,Exynos 1280,Mobiles Dataset (2025) - Enhanced.csv,142.01183431952663
Samsung,6.0,6000.0,6.5,199.0,2023.0,349,13.0,50.0,Exynos 1280,Mobiles Dataset (2025) - Enhanced.csv,142.01183431952663
Samsung,4.0,6000.0,6.6,202.0,2023.0,249,13.0,50.0,Exynos 850,Mobiles Dataset (2025) - Enhanced.csv,137.74104683195594
Samsung,4.0,6000.0,6.6,202.0,2023.0,299,13.0,50.0,Exynos 850,Mobiles Dataset (2025) - Enhanced.csv,137.74104683195594
Samsung,12.0,4500.0,6.9,208.0,2020.0,1299,10.0,108.0,Exynos 990,Mobiles Dataset (2025) - Enhanced.csv,94.51795841209828
Samsung,12.0,4500.0,6.9,208.0,2020.0,1399,10.0,108.0,Exynos 990,Mobiles Dataset (2025) - Enhanced.csv,94.51795841209828
Samsung,8.0,4300.0,6.7,192.0,2020.0,999,10.0,108.0,Exynos 990,Mobiles Dataset (2025) - Enhanced.csv,95.78970817554021
Samsung,8.0,4300.0,6.7,192.0,2020.0,1099,10.0,108.0,Exynos 990,Mobiles Dataset (2025) - Enhanced.csv,95.78970817554021
Samsung,12.0,4300.0,6.8,196.0,2019.0,1099,10.0,12.0,Exynos 9825,Mobiles Dataset (2025) - Enhanced.csv,92.9930795847751
Samsung,12.0,4300.0,6.8,196.0,2019.0,1199,10.0,12.0,Exynos 9825,Mobiles Dataset (2025) - Enhanced.csv,92.9930795847751
Samsung,8.0,3500.0,6.3,168.0,2019.0,949,10.0,12.0,Exynos 9825,Mobiles Dataset (2025) - Enhanced.csv,88.18342151675486
Samsung,8.0,3500.0,6.3,168.0,2019.0,899,10.0,12.0,Exynos 9825,Mobiles Dataset (2025) - Enhanced.csv,88.18342151675486
Samsung,6.0,4050.0,6.6,235.0,2022.0,499,13.0,50.0,Exynos 1380,Mobiles Dataset (2025) - Enhanced.csv,92.97520661157026
Samsung,4.0,3000.0,5.3,172.0,2020.0,249,5.0,16.0,Exynos 850,Mobiles Dataset (2025) - Enhanced.csv,106.79957280170879
Samsung,4.0,3500.0,6.0,191.0,2018.0,199,16.0,16.0,Snapdragon 450,Mobiles Dataset (2025) - Enhanced.csv,97.22222222222223
Samsung,3.0,3600.0,5.5,181.0,2017.0,179,13.0,13.0,Exynos 7870,Mobiles Dataset (2025) - Enhanced.csv,119.00826446280992
Samsung,4.0,3300.0,6.0,178.0,2018.0,169,8.0,13.0,Snapdragon 425,Mobiles Dataset (2025) - Enhanced.csv,91.66666666666667
Samsung,2.0,3000.0,5.5,175.0,2018.0,129,5.0,13.0,Exynos 7570,Mobiles Dataset (2025) - Enhanced.csv,99.17355371900827
Samsung,6.0,4000.0,6.0,189.0,2016.0,399,16.0,16.0,Snapdragon 653,Mobiles Dataset (2025) - Enhanced.csv,111.11111111111111
Samsung,4.0,3300.0,5.7,165.0,2017.0,299,16.0,16.0,Snapdragon 625,Mobiles Dataset (2025) - Enhanced.csv,101.5697137580794
Samsung,4.0,2600.0,5.2,143.0,2016.0,249,8.0,16.0,Snapdragon 617,Mobiles Dataset (2025) - Enhanced.csv,96.15384615384615
Samsung,12.0,4500.0,7.6,228.0,2021.0,1499,10.0,108.0,Snapdragon 888,Mobiles Dataset (2025) - Enhanced.csv,77.90858725761773
Samsung,12.0,4500.0,7.6,229.0,2020.0,1399,10.0,108.0,Snapdragon 888,Mobiles Dataset (2025) - Enhanced.csv,77.90858725761773
Samsung,6.0,5050.0,8.0,433.0,2024.0,549,5.0,13.0,Exynos 1380,Mobiles Dataset (2025) - Enhanced.csv,78.90625
Samsung,4.0,5050.0,8.0,426.0,2020.0,499,5.0,13.0,Exynos 9810,Mobiles Dataset (2025) - Enhanced.csv,78.90625
Samsung,1.0,5000.0,8.0,360.0,2016.0,99,2.0,5.0,Qualcomm MSM8916,Mobiles Dataset (2025) - Enhanced.csv,78.125
OnePlus,12.0,5000.0,6.7,205.0,2024.0,799,32.0,50.0,Snapdragon 8 Gen 3,Mobiles Dataset (2025) - Enhanced.csv,111.38338159946535
OnePlus,12.0,4500.0,6.7,203.0,2024.0,699,16.0,50.0,Snapdragon 8 Gen 2,Mobiles Dataset (2025) - Enhanced.csv,100.24504343951882
OnePlus,12.0,5000.0,6.7,205.0,2023.0,699,16.0,50.0,Snapdragon 8 Gen 1,Mobiles Dataset (2025) - Enhanced.csv,111.38338159946535
OnePlus,12.0,5000.0,6.7,202.0,2023.0,599,16.0,50.0,Snapdragon 8 Gen 1,Mobiles Dataset (2025) - Enhanced.csv,111.38338159946535
OnePlus,12.0,5000.0,6.74,190.0,2023.0,499,16.0,50.0,MediaTek Dimensity 9000,Mobiles Dataset (2025) - Enhanced.csv,110.06524667823085
OnePlus,8.0,5000.0,6.72,179.0,2023.0,399,16.0,50.0,Snapdragon 782G,Mobiles Dataset (2025) - Enhanced.csv,110.72137188208619
OnePlus,8.0,5000.0,6.72,195.0,2023.0,299,16.0,108.0,Snapdragon 695,Mobiles Dataset (2025) - Enhanced.csv,110.72137188208619
OnePlus,8.0,5000.0,6.72,192.0,2023.0,249,16.0,64.0,MediaTek Dimensity 6020,Mobiles Dataset (2025) - Enhanced.csv,110.72137188208619
OnePlus,16.0,4800.0,7.8,238.0,2024.0,1099,32.0,48.0,Snapdragon 8 Gen 2,Mobiles Dataset (2025) - Enhanced.csv,78.89546351084813
OnePlus,12.0,5000.0,6.7,200.0,2022.0,899,32.0,50.0,Snapdragon 8 Gen 1,Mobiles Dataset (2025) - Enhanced.csv,111.38338159946535
OnePlus,12.0,4500.0,6.7,203.0,2022.0,749,16.0,50.0,Snapdragon 8+ Gen 1,Mobiles Dataset (2025) - Enhanced.csv,100.24504343951882
OnePlus,8.0,4500.0,6.55,183.0,2021.0,599,16.0,48.0,Snapdragon 888,Mobiles Dataset (2025) - Enhanced.csv,104.88899248295554
OnePlus,16.0,5000.0,6.7,204.0,2023.0,899,32.0,50.0,Snapdragon 8 Gen 2,Mobiles Dataset (2025) - Enhanced.csv,111.38338159946535
OnePlus,8.0,4500.0,6.43,190.0,2022.0,399,32.0,50.0,MediaTek Dimensity 1300,Mobiles Dataset (2025) - Enhanced.csv,108.84050995406932
OnePlus,8.0,4500.0,6.43,190.0,2021.0,349,32.0,50.0,MediaTek Dimensity 1200-AI,Mobiles Dataset (2025) - Enhanced.csv,108.84050995406932
OnePlus,4.0,5000.0,6.49,189.0,2021.0,199,16.0,13.0,Snapdragon 480,Mobiles Dataset (2025) - Enhanced.csv,118.70817020852277
OnePlus,4.0,5000.0,6.52,185.0,2020.0,179,8.0,13.0,Qualcomm Snapdragon 460,Mobiles Dataset (2025) - Enhanced.csv,117.61827693929015
OnePlus,12.0,4500.0,6.55,188.0,2020.0,749,16.0,48.0,Snapdragon 865,Mobiles Dataset (2025) - Enhanced.csv,104.88899248295554
