model_name,refresh_rate,display_type,peak_brightness_nits,resolution,main_camera_mp,main_aperture,sensor_size,has_ois,max_video,max_video_fps,charging_speed_w,wireless_charging_w,has_reverse_charging,endurance_rating_hours,glass_type,ip_rating,materials,gsmarena_rating,gsmarena_review_count,antutu_score,geekbench_single,geekbench_multi,performance_tier,amazon_rating,amazon_review_count,positive_sentiment_pct,negative_sentiment_pct
Apple iPhone 16 128GB,,,,,,,,False,,,,,False,,,,,,,,,,unknown,,0,0.0,0.0
Apple iPhone 16 256GB,,,,,,,,False,,,,,False,,,,,,,,,,unknown,,0,0.0,0.0
Apple iPhone 16 512GB,,,,,,,,False,,,,,False,,,,,,,,,,unknown,,0,0.0,0.0
Apple iPhone 16 Plus 128GB,,,,,,,,False,,,,,False,,,,,,,,,,unknown,,0,0.0,0.0
Apple iPhone 16 Plus 256GB,,,,,,,,False,,,,,False,,,,,,,,,,unknown,,0,0.0,0.0
Apple iPhone 16 Plus 512GB,68.0,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",68.0,"1200 x 2608 pixels, 19.5:9 ratio (~416 ppi density)",50.0,1.7,"1/1.31""",True,8K,30.0,,,False,,,IP68,"Glass front (Poco Shield Glass), aluminum alloy frame, fiber-reinforced plastic back or silicone polymer back",,,,,,unknown,,0,0.0,0.0
Apple iPhone 16 Pro 128GB,68.0,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",68.0,"1200 x 2608 pixels, 19.5:9 ratio (~416 ppi density)",50.0,1.7,"1/1.31""",True,8K,30.0,,,False,,,IP68,"Glass front (Poco Shield Glass), aluminum alloy frame, fiber-reinforced plastic back or silicone polymer back",,,,,,unknown,,0,0.0,0.0
Apple iPhone 16 Pro 256GB,68.0,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",68.0,"1200 x 2608 pixels, 19.5:9 ratio (~416 ppi density)",50.0,1.7,"1/1.31""",True,8K,30.0,,,False,,,IP68,"Glass front (Poco Shield Glass), aluminum alloy frame, fiber-reinforced plastic back or silicone polymer back",,,,,,unknown,,0,0.0,0.0
Apple iPhone 16 Pro 512GB,68.0,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",68.0,"1200 x 2608 pixels, 19.5:9 ratio (~416 ppi density)",50.0,1.7,"1/1.31""",True,8K,30.0,,,False,,,IP68,"Glass front (Poco Shield Glass), aluminum alloy frame, fiber-reinforced plastic back or silicone polymer back",,,,,,unknown,,0,0.0,0.0
Apple iPhone 16 Pro Max 128GB,68.0,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",68.0,"1200 x 2608 pixels, 19.5:9 ratio (~416 ppi density)",50.0,1.7,"1/1.31""",True,8K,30.0,,,False,,,IP68,"Glass front (Poco Shield Glass), aluminum alloy frame, fiber-reinforced plastic back or silicone polymer back",,,,,,unknown,,0,0.0,0.0
Apple iPhone 16 Pro Max 256GB,68.0,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",68.0,"1200 x 2608 pixels, 19.5:9 ratio (~416 ppi density)",50.0,1.7,"1/1.31""",True,8K,30.0,,,False,,,IP68,"Glass front (Poco Shield Glass), aluminum alloy frame, fiber-reinforced plastic back or silicone polymer back",,,,,,unknown,,0,0.0,0.0
Apple iPhone 16 Pro Max 512GB,68.0,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",68.0,"1200 x 2608 pixels, 19.5:9 ratio (~416 ppi density)",50.0,1.7,"1/1.31""",True,8K,30.0,,,False,,,IP68,"Glass front (Poco Shield Glass), aluminum alloy frame, fiber-reinforced plastic back or silicone polymer back",,,,,,unknown,,0,0.0,0.0
Apple iPhone 15 128GB,68.0,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",68.0,"1200 x 2608 pixels, 19.5:9 ratio (~416 ppi density)",50.0,1.7,"1/1.31""",True,8K,30.0,,,False,,,IP68,"Glass front (Poco Shield Glass), aluminum alloy frame, fiber-reinforced plastic back or silicone polymer back",,,,,,unknown,,0,0.0,0.0
Apple iPhone 15 256GB,68.0,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",68.0,"1200 x 2608 pixels, 19.5:9 ratio (~416 ppi density)",50.0,1.7,"1/1.31""",True,8K,30.0,,,False,,,IP68,"Glass front (Poco Shield Glass), aluminum alloy frame, fiber-reinforced plastic back or silicone polymer back",,,,,,unknown,,0,0.0,0.0
Apple iPhone 15 512GB,68.0,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",68.0,"1200 x 2608 pixels, 19.5:9 ratio (~416 ppi density)",50.0,1.7,"1/1.31""",True,8K,30.0,,,False,,,IP68,"Glass front (Poco Shield Glass), aluminum alloy frame, fiber-reinforced plastic back or silicone polymer back",,,,,,unknown,,0,0.0,0.0
Apple iPhone 15 Plus 128GB,68.0,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",68.0,"1200 x 2608 pixels, 19.5:9 ratio (~416 ppi density)",50.0,1.7,"1/1.31""",True,8K,30.0,,,False,,,IP68,"Glass front (Poco Shield Glass), aluminum alloy frame, fiber-reinforced plastic back or silicone polymer back",,,,,,unknown,,0,0.0,0.0
Apple iPhone 15 Plus 256GB,68.0,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",68.0,"1200 x 2608 pixels, 19.5:9 ratio (~416 ppi density)",50.0,1.7,"1/1.31""",True,8K,30.0,,,False,,,IP68,"Glass front (Poco Shield Glass), aluminum alloy frame, fiber-reinforced plastic back or silicone polymer back",,,,,,unknown,,0,0.0,0.0
Apple iPhone 15 Plus 512GB,68.0,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",68.0,"1200 x 2608 pixels, 19.5:9 ratio (~416 ppi density)",50.0,1.7,"1/1.31""",True,8K,30.0,,,False,,,IP68,"Glass front (Poco Shield Glass), aluminum alloy frame, fiber-reinforced plastic back or silicone polymer back",,,,,,unknown,,0,0.0,0.0
Apple iPhone 15 Pro 128GB,68.0,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",68.0,"1200 x 2608 pixels, 19.5:9 ratio (~416 ppi density)",50.0,1.7,"1/1.31""",True,8K,30.0,,,False,,,IP68,"Glass front (Poco Shield Glass), aluminum alloy frame, fiber-reinforced plastic back or silicone polymer back",,,,,,unknown,,0,0.0,0.0
Apple iPhone 15 Pro 256GB,68.0,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",68.0,"1200 x 2608 pixels, 19.5:9 ratio (~416 ppi density)",50.0,1.7,"1/1.31""",True,8K,30.0,,,False,,,IP68,"Glass front (Poco Shield Glass), aluminum alloy frame, fiber-reinforced plastic back or silicone polymer back",,,,,,unknown,,0,0.0,0.0
